('PLL1_DW0',		'0x8000', 'DPIO2')
('PLL1_DW1',		'0x8004', 'DPIO2')
('PLL1_DW2',		'0x8008', 'DPIO2')
('PLL1_DW3',		'0x800C', 'DPIO2')
('PLL1_DW4',		'0x8010', 'DPIO2')
('PLL1_DW5',		'0x8014', 'DPIO2')
('PLL1_DW6',		'0x8018', 'DPIO2')
('PLL1_DW7',		'0x801C', 'DPIO2')
('PLL1_DW8',		'0x8020', 'DPIO2')
('PLL1_DW9',		'0x8024', 'DPIO2')
('PLL1_DW10',		'0x8028', 'DPIO2')
('PLL1_DW11',		'0x802C', 'DPIO2')
('PLL1_DW12',		'0x8030', 'DPIO2')
('PLL1_DW13',		'0x8034', 'DPIO2')
('PLL1_DW14',		'0x8038', 'DPIO2')
('PLL1_DW15',		'0x803C', 'DPIO2')
('PLL1_DW16',		'0x8040', 'DPIO2')
('PLL1_DW17',		'0x8044', 'DPIO2')
('PLL1_DW18',		'0x8048', 'DPIO2')
('PLL1_DW19',		'0x804C', 'DPIO2')
('PLL1_DW20',		'0x8050', 'DPIO2')
('PLL1_DW21',		'0x8054', 'DPIO2')
('PLL1_DW22',		'0x8058', 'DPIO2')
('PLL1_DW23',		'0x805C', 'DPIO2')
('PLL1_DW24',		'0x8060', 'DPIO2')
('PLL1_DW25',		'0x8064', 'DPIO2')
('PLL1_DW26',		'0x8068', 'DPIO2')
('PLL1_DW27',		'0x806C', 'DPIO2')
('PLL1_DW28',		'0x8070', 'DPIO2')
('PLL1_DW29',		'0x8074', 'DPIO2')
('PLL1_DW30',		'0x8078', 'DPIO2')
('PLL1_DW31',		'0x807C', 'DPIO2')
('CL2_DW0',		'0x8080', 'DPIO2')
('CL2_DW1',		'0x8084', 'DPIO2')
('CL2_DW2',		'0x8088', 'DPIO2')
('CL2_DW3',		'0x808C', 'DPIO2')
('CL2_DW4',		'0x8090', 'DPIO2')
('CL2_DW5',		'0x8094', 'DPIO2')
('CL2_DW6',		'0x8098', 'DPIO2')
('CL2_DW7',		'0x809C', 'DPIO2')
('REF_DW0',		'0x80A0', 'DPIO2')
